"Date","Price","Open","High","Low","Change %"
"Aug 10, 2017","64.165","63.898","64.175","63.855","0.48"
"Aug 09, 2017","63.860","63.780","63.860","63.710","0.26"
"Aug 08, 2017","63.692","63.750","63.785","63.615","-0.23"
"Aug 07, 2017","63.840","63.710","63.865","63.648","0.26"
"Aug 04, 2017","63.675","63.670","63.786","63.572","-0.05"
"Aug 03, 2017","63.705","63.630","63.720","63.560","0.11"
"Aug 02, 2017","63.635","64.120","64.135","63.590","-0.72"
"Aug 01, 2017","64.095","64.100","64.145","64.040","-0.16"
"Jul 31, 2017","64.200","64.110","64.272","64.045","0.13"
"Jul 28, 2017","64.115","64.190","64.245","64.105","-0.02"
"Jul 27, 2017","64.125","64.180","64.218","64.060","-0.36"
